Year	Month	Q_ac_ft_per_month	Q_cms
1927	6	4127326	1936.80244
1927	7	3040807	1426.938996
1927	8	1263371	592.8535899
1927	9	2013698	944.9544815
1927	10	948204	444.957297
1927	11	738283	346.4490849
1927	12	458035	214.9389958
1928	1	457184	214.5396527
1928	2	454767	213.4054435
1928	3	777155	364.6902863
1928	4	1103775	517.9610511
1928	5	4821916	2262.748006
1928	6	4261452	1999.742844
1928	7	2204925	1034.690286
1928	8	998312	468.4711403
1928	9	546594	256.4964805
1928	10	615502	288.832473
1928	11	570122	267.5373064
1928	12	348705	163.6344439
1929	1	337118	158.1970906
1929	2	351565	164.9765368
1929	3	915700	429.7043641
1929	4	1774777	832.8376349
1929	5	4602167	2159.627874
1929	6	5504354	2582.991084
1929	7	2714041	1273.599718
1929	8	2341485	1098.772877
1929	9	1715620	805.0774284
1929	10	956703	448.9455655
1929	11	564438	264.8700141
1929	12	440904	206.9000469
1930	1	300711	141.1126232
1930	2	457920	214.8850305
1930	3	563639	264.4950727
1930	4	1862406	873.9587048
1930	5	2225165	1044.188175
1930	6	3694826	1733.846082
1930	7	1617780	759.1647114
1930	8	1792049	840.9427499
1930	9	654030	306.9122478
1930	10	572750	268.7705303
1930	11	421345	197.7217269
1930	12	285543	133.9948381
1931	1	263522	123.6611919
1931	2	366317	171.8991084
1931	3	443955	208.3317691
1931	4	712221	334.2191459
1931	5	1515196	711.0258095
1931	6	2105243	987.9131863
1931	7	1117417	524.3627405
1931	8	646449	303.354763
1931	9	418724	196.4917879
1931	10	540290	253.538245
1931	11	366047	171.7724073
1931	12	259509	121.7780385
1932	1	283166	132.8793993
1932	2	567584	266.3463163
1932	3	718988	337.3946504
1932	4	1774718	832.8099484
1932	5	4465792	2095.632098
1932	6	4265119	2001.463632
1932	7	2612448	1225.925856
1932	8	1298785	609.4720788
1932	9	657063	308.3355232
1932	10	367933	172.6574378
1932	11	377363	177.0825903
1932	12	276082	129.5551384
1933	1	268596	126.0422337
1933	2	253914	119.1525106
1933	3	503603	236.3223839
1933	4	579969	272.1581417
1933	5	1743460	818.1417175
1933	6	4801705	2253.263726
1933	7	1823753	855.8202722
1933	8	775347	363.8418583
1933	9	541019	253.8803379
1933	10	435826	204.5171281
1933	11	297560	139.6339747
1933	12	336431	157.8747067
1934	1	299475	140.5326138
1934	2	296945	139.3453778
1934	3	356855	167.4589395
1934	4	584844	274.4458001
1934	5	1509729	708.4603473
1934	6	1012200	474.9882684
1934	7	685711	321.778977
1934	8	500747	234.982168
1934	9	273377	128.2857813
1934	10	211958	99.46410136
1934	11	179678	84.31628344
1934	12	229039	107.479587
1935	1	256895	120.5513843
1935	2	273633	128.4059127
1935	3	348946	163.7475364
1935	4	703982	330.352886
1935	5	1659496	778.7404974
1935	6	4722051	2215.885031
1935	7	2171914	1019.199437
1935	8	919185	431.3397466
1935	9	572163	268.4950727
1935	10	385872	181.0755514
1935	11	321744	150.9826373
1935	12	272346	127.8019709
1936	1	268006	125.7653684
1936	2	320027	150.1769122
1936	3	467293	219.283435
1936	4	1465536	687.7221962
1936	5	4139077	1942.316753
1936	6	3372480	1582.580948
1936	7	1631641	765.6691694
1936	8	1205683	565.7827311
1936	9	671727	315.2167996
1936	10	368541	172.9427499
1936	11	433435	203.3951197
1936	12	317678	149.0746129
1937	1	201426	94.52182074
1937	2	410110	192.4495542
1937	3	658450	308.9863914
1937	4	1594216	748.106992
1937	5	3944714	1851.109338
1937	6	2999795	1407.693571
1937	7	1865597	875.4561239
1937	8	797151	374.0736743
1937	9	568041	266.5607696
1937	10	497824	233.6105115
1937	11	378744	177.7306429
1937	12	387864	182.0103238
1938	1	328744	154.2674801
1938	2	352001	165.1811356
1938	3	773246	362.8559362
1938	4	1725164	809.556077
1938	5	3725399	1748.192867
1938	6	5360852	2515.650868
1938	7	2424331	1137.64946
1938	8	960014	450.4992961
1938	9	1004270	471.2670108
1938	10	589216	276.4974191
1938	11	473004	221.9633975
1938	12	405653	190.3580479
1939	1	343228	161.0642891
1939	2	302236	141.8282496
1939	3	809777	379.9985922
1939	4	1250651	586.8845612
1939	5	2975185	1396.145002
1939	6	2268860	1064.692633
1939	7	1050986	493.1891131
1939	8	585937	274.9587048
1939	9	644975	302.663069
1939	10	343706	161.2885969
1939	11	308677	144.8507743
1939	12	283053	132.8263726
1940	1	261698	122.8052557
1940	2	298277	139.9704364
1940	3	425689	199.7602065
1940	4	780974	366.4824026
1940	5	2559692	1201.169404
1940	6	2218883	1041.240263
1940	7	940183	441.1933365
1940	8	494824	232.2027217
1940	9	507262	238.0394181
1940	10	721330	338.4936649
1940	11	407612	191.2773346
1940	12	365250	171.3984045
1941	1	350022	164.2524636
1941	2	416080	195.2510558
1941	3	668639	313.7677147
1941	4	1151420	540.319099
1941	5	5436441	2551.122008
1941	6	4589254	2153.568278
1941	7	2362403	1108.588925
1941	8	1147302	538.3866729
1941	9	653866	306.8352886
1941	10	1781828	836.1464101
1941	11	893939	419.4927264
1941	12	567742	266.4204599
1942	1	410239	192.5100892
1942	2	393794	184.7930549
1942	3	646388	303.326138
1942	4	2925816	1372.977945
1942	5	3586298	1682.917879
1942	6	4839156	2270.838104
1942	7	2019205	947.5387142
1942	8	875590	410.8822149
1942	9	393152	184.4917879
1942	10	346604	162.6485218
1942	11	365731	171.6241201
1942	12	361812	169.7850774
1943	1	339375	159.2562177
1943	2	336518	157.9155326
1943	3	523944	245.8676678
1943	4	1680079	788.399343
1943	5	2483874	1165.590802
1943	6	3376876	1584.643829
1943	7	2074446	973.4612858
1943	8	1136590	533.3599249
1943	9	587709	275.7902393
1943	10	373350	175.1994369
1943	11	429906	201.7390896
1943	12	373574	175.3045519
1944	1	286268	134.335054
1944	2	336371	157.8465509
1944	3	470091	220.5964336
1944	4	1050492	492.957297
1944	5	3684541	1729.019709
1944	6	4815628	2259.797278
1944	7	2462721	1155.664477
1944	8	820700	385.1243548
1944	9	319005	149.6973252
1944	10	368992	173.1543876
1944	11	372201	174.6602534
1944	12	309893	145.4213984
1945	1	328314	154.0656969
1945	2	348379	163.4814641
1945	3	417545	195.9385265
1945	4	804371	377.461755
1945	5	3255617	1527.741436
1945	6	3477253	1631.747067
1945	7	2445270	1147.475364
1945	8	1431286	671.6499296
1945	9	481097	225.761145
1945	10	521528	244.7339277
1945	11	429534	201.5645237
1945	12	317955	149.2045988
1946	1	338315	158.7587987
1946	2	308656	144.8409198
1946	3	497646	233.5269826
1946	4	1227261	575.9084937
1946	5	1979996	929.1393712
1946	6	2754017	1292.358986
1946	7	1381140	648.1182543
1946	8	814739	382.3270765
1946	9	429471	201.5349601
1946	10	426221	200.0098545
1946	11	467621	219.4373534
1946	12	411605	193.1511028
1947	1	265012	124.3603942
1947	2	337511	158.381511
1947	3	634786	297.8817457
1947	4	866015	406.3890192
1947	5	3702981	1737.672924
1947	6	3795350	1781.018301
1947	7	2677593	1256.496011
1947	8	1511965	709.5096199
1947	9	754605	354.1083998
1947	10	822944	386.1773815
1947	11	571046	267.9709057
1947	12	440793	206.8479587
1948	1	372936	175.0051619
1948	2	424395	199.1529798
1948	3	581990	273.1065228
1948	4	1708607	801.7864852
1948	5	4108490	1927.963397
1948	6	3909614	1834.638198
1948	7	1611566	756.2487095
1948	8	852879	400.2247771
1948	9	356405	167.247771
1948	10	353187	165.7376818
1948	11	395870	185.7672454
1948	12	349159	163.8474894
1949	1	323922	152.0046926
1949	2	341251	160.1365556
1949	3	673055	315.8399812
1949	4	1439252	675.3880807
1949	5	3564293	1672.591741
1949	6	5184556	2432.921633
1949	7	2759686	1295.01924
1949	8	948988	445.3251994
1949	9	400298	187.8451431
1949	10	522751	245.3078367
1949	11	458617	215.212107
1949	12	355922	167.0211168
1950	1	349824	164.1595495
1950	2	374692	175.8291882
1950	3	563807	264.573909
1950	4	1281479	601.3510089
1950	5	2239709	1051.013139
1950	6	3862655	1812.602065
1950	7	1950714	915.3984045
1950	8	751542	352.6710465
1950	9	399789	187.6062881
1950	10	413820	194.1905209
1950	11	355486	166.8165181
1950	12	406352	190.6860629
1951	1	304993	143.1220084
1951	2	341914	160.4476771
1951	3	414822	194.6607227
1951	4	588687	276.2491788
1951	5	2133211	1001.037541
1951	6	3693973	1733.4458
1951	7	2155179	1011.346316
1951	8	1127697	529.1867668
1951	9	509573	239.1238855
1951	10	426832	200.2965744
1951	11	437328	205.2219615
1951	12	344670	161.7409667
1952	1	481218	225.8179259
1952	2	374985	175.9666823
1952	3	425813	199.8183951
1952	4	2449532	1149.475364
1952	5	5554490	2606.518067
1952	6	6221122	2919.34397
1952	7	2249717	1055.709526
1952	8	1214481	569.9113092
1952	9	669865	314.3430314
1952	10	365807	171.6597841
1952	11	365949	171.7264195
1952	12	368640	172.9892069
1953	1	398606	187.0511497
1953	2	355363	166.7587987
1953	3	450303	211.3106523
1953	4	569997	267.4786485
1953	5	1342116	629.805725
1953	6	3943396	1850.490849
1953	7	1601452	751.5025809
1953	8	1001118	469.787893
1953	9	392108	184.0018771
1953	10	310801	145.8474894
1953	11	419779	196.9868606
1953	12	338254	158.7301736
1954	1	313599	147.160488
1954	2	329977	154.8460817
1954	3	380026	178.3322384
1954	4	705647	331.1342093
1954	5	1804002	846.5518536
1954	6	1385207	650.026748
1954	7	1206426	566.1313937
1954	8	639193	299.9497888
1954	9	471089	221.0647583
1954	10	555384	260.6213046
1954	11	346374	162.5405913
1954	12	287298	134.8183951
1955	1	255833	120.0530267
1955	2	249237	116.9577663
1955	3	562115	263.7799155
1955	4	710931	333.6137963
1955	5	1993763	935.5997184
1955	6	2341513	1098.786016
1955	7	1174836	551.3073674
1955	8	885416	415.4931957
1955	9	346535	162.6161427
1955	10	219232	102.8775223
1955	11	275966	129.5007039
1955	12	342792	160.8596903
1956	1	365004	171.2829657
1956	2	280978	131.8526513
1956	3	571749	268.3007977
1956	4	1053972	494.5903332
1956	5	2926653	1373.370718
1956	6	3504889	1644.715626
1956	7	1112262	521.9436884
1956	8	680002	319.0999531
1956	9	288849	135.5462224
1956	10	191413	89.82308775
1956	11	302744	142.0666354
1956	12	259496	121.7719381
1957	1	297651	139.6766776
1957	2	333983	156.7259503
1957	3	474125	222.4894416
1957	4	878830	412.4026279
1957	5	2889416	1355.896762
1957	6	6790968	3186.75176
1957	7	4858314	2279.82825
1957	8	1949273	914.7221962
1957	9	985205	462.3205068
1957	10	746112	350.122947
1957	11	810958	380.5527921
1957	12	498026	233.7053027
1958	1	390894	183.4321915
1958	2	527759	247.6579071
1958	3	671134	314.9385265
1958	4	1610427	755.7142187
1958	5	4780048	2243.100892
1958	6	4500477	2111.908494
1958	7	1257846	590.2609104
1958	8	653520	306.6729235
1958	9	423615	198.7869545
1958	10	328067	153.9497888
1958	11	354498	166.352886
1958	12	361726	169.7447208
1959	1	304845	143.0525575
1959	2	305145	143.1933365
1959	3	354366	166.2909432
1959	4	487365	228.7024871
1959	5	1422316	667.4406382
1959	6	2877629	1350.365556
1959	7	1389991	652.2717034
1959	8	736482	345.6039418
1959	9	322670	151.417175
1959	10	555144	260.5086814
1959	11	509873	239.2646645
1959	12	354067	166.1506335
1960	1	285975	134.1975598
1960	2	308663	144.8442046
1960	3	742510	348.4326607
1960	4	1748018	820.2806194
1960	5	2032109	953.5940873
1960	6	3235688	1518.389489
1960	7	1321275	620.0258095
1960	8	563700	264.5236978
1960	9	320255	150.2839043
1960	10	355068	166.620366
1960	11	349739	164.1196621
1960	12	266387	125.0056312
1961	1	246005	115.4411075
1961	2	312749	146.7616143
1961	3	373366	175.2069451
1961	4	636851	298.8507743
1961	5	1695847	795.7986861
1961	6	2510332	1178.00657
1961	7	924536	433.8507743
1961	8	696176	326.689817
1961	9	832005	390.4293759
1961	10	802533	376.5992492
1961	11	545887	256.1647114
1961	12	374486	175.7325199
1962	1	337574	158.4110746
1962	2	729411	342.2857813
1962	3	620161	291.0187705
1962	4	2585277	1213.175504
1962	5	4111052	1929.16565
1962	6	3887117	1824.081183
1962	7	2487676	1167.374941
1962	8	884750	415.1806664
1962	9	394885	185.3050211
1962	10	542207	254.4378226
1962	11	434429	203.8615673
1962	12	343926	161.3918348
1963	1	202192	94.8812764
1963	2	368705	173.0197091
1963	3	572022	268.4289066
1963	4	769091	360.9061473
1963	5	1860875	873.2402628
1963	6	1828576	858.0835289
1963	7	887456	416.4504927
1963	8	659621	309.5358986
1963	9	646109	303.1952135
1963	10	289986	136.0797748
1963	11	318158	149.2998592
1963	12	227749	106.8742374
1964	1	227247	106.6386673
1964	2	233631	109.6344439
1964	3	292967	137.4786485
1964	4	619011	290.4791178
1964	5	2430315	1140.457532
1964	6	2902376	1361.978414
1964	7	1664574	781.1234162
1964	8	847351	397.6306898
1964	9	327988	153.912717
1964	10	250557	117.5771938
1964	11	290015	136.0933834
1964	12	328025	153.9300798
1965	1	342215	160.5889254
1965	2	345973	162.3524167
1965	3	393393	184.6048803
1965	4	1342599	630.0323792
1965	5	3336138	1565.526983
1965	6	5562406	2610.232755
1965	7	3750056	1759.763491
1965	8	1552006	728.29939
1965	9	865586	406.1877053
1965	10	845065	396.557954
1965	11	560645	263.0900985
1965	12	520577	244.2876584
1966	1	392813	184.3327076
1966	2	364477	171.035664
1966	3	934639	438.591741
1966	4	1247012	585.1769122
1966	5	2431492	1141.009855
1966	6	1843730	865.1947443
1966	7	1010284	474.08916
1966	8	560905	263.212107
1966	9	349087	163.8137025
1966	10	318330	149.3805725
1966	11	332153	155.8671985
1966	12	377204	177.0079775
1967	1	274882	128.9920225
1967	2	319861	150.0990145
1967	3	547277	256.8169873
1967	4	582418	273.3073674
1967	5	1846928	866.6954481
1967	6	3837961	1801.014078
1967	7	2033017	954.0201783
1967	8	835002	391.8357579
1967	9	403511	189.352886
1967	10	259909	121.9657438
1967	11	325508	152.7489442
1967	12	239190	112.2430784
1968	1	321818	151.0173627
1968	2	387655	181.9122478
1968	3	494565	232.0811825
1968	4	619493	290.7053027
1968	5	2211325	1037.693571
1968	6	4952291	2323.928203
1968	7	1696878	796.2824965
1968	8	1420247	666.4697325
1968	9	409746	192.2787424
1968	10	432170	202.8015016
1968	11	394573	185.158611
1968	12	313739	147.2261849
1969	1	400614	187.9934303
1969	2	361125	169.4626936
1969	3	545552	256.0075082
1969	4	1911511	897.0018771
1969	5	3765327	1766.929611
1969	6	2892809	1357.488972
1969	7	1991603	934.5861098
1969	8	858936	403.0671046
1969	9	584544	274.3050211
1969	10	694039	325.6870014
1969	11	518108	243.1290474
1969	12	391796	183.8554669
1970	1	357892	167.9455655
1970	2	347394	163.0192398
1970	3	421423	197.7583294
1970	4	585390	274.7020178
1970	5	3676415	1725.206476
1970	6	4071363	1910.541061
1970	7	1983374	930.7245425
1970	8	889796	417.5485687
1970	9	1118818	525.0201783
1970	10	613981	288.1187236
1970	11	489041	229.4889723
1970	12	393108	184.4711403
1971	1	434186	203.7475364
1971	2	457884	214.868137
1971	3	609626	286.0750821
1971	4	1357224	636.8953543
1971	5	2483012	1165.186298
1971	6	4371629	2051.444862
1971	7	2087101	979.3998123
1971	8	926307	434.6818395
1971	9	622351	292.0464571
1971	10	651910	305.9174097
1971	11	528810	248.1511028
1971	12	454971	213.5011732
1972	1	448906	210.6550915
1972	2	445694	209.1478179
1972	3	815881	382.8629751
1972	4	828391	388.7334585
1972	5	1982436	930.2843735
1972	6	3759166	1764.03848
1972	7	1210671	568.1234162
1972	8	705761	331.1877053
1972	9	565843	265.529329
1972	10	1260483	591.4983576
1972	11	641498	301.0314406
1972	12	451082	211.6762084
1973	1	424667	199.2806194
1973	2	490407	230.1299859
1973	3	890884	418.0591272
1973	4	1438076	674.8362271
1973	5	4575407	2147.070389
1973	6	4847342	2274.679493
1973	7	2680815	1258.007977
1973	8	951622	446.5612389
1973	9	619093	290.5175974
1973	10	400989	188.169404
1973	11	457476	214.6766776
1973	12	381670	179.1037072
1974	1	393294	184.5584233
1974	2	360746	169.2848428
1974	3	777349	364.7813233
1974	4	957593	449.3632098
1974	5	3351336	1572.658846
1974	6	3263962	1531.657438
1974	7	1517615	712.1609573
1974	8	734400	344.6269357
1974	9	369249	173.2749883
1974	10	411068	192.8991084
1974	11	483002	226.6550915
1974	12	302667	142.0305021
1975	1	341939	160.4594087
1975	2	359748	168.8165181
1975	3	623972	292.8071328
1975	4	890582	417.9174097
1975	5	2780708	1304.884092
1975	6	4978289	2336.128109
1975	7	3856879	1809.8916
1975	8	1005515	471.8512435
1975	9	531572	249.4472079
1975	10	380544	178.5753168
1975	11	400144	187.7728766
1975	12	385753	181.0197091
1976	1	331866	155.7325199
1976	2	470842	220.9488503
1976	3	550454	258.3078367
1976	4	869848	408.1877053
1976	5	2512561	1179.052557
1976	6	2769885	1299.805256
1976	7	1290938	605.7897701
1976	8	742776	348.5574847
1976	9	495553	232.5448146
1976	10	413237	193.9169404
1976	11	346289	162.5007039
1976	12	249793	117.2186767
1977	1	288957	135.5969029
1977	2	300439	140.9849836
1977	3	269027	126.2444862
1977	4	374668	175.8179259
1977	5	615729	288.9389958
1977	6	947165	444.4697325
1977	7	656724	308.176443
1977	8	589839	276.7897701
1977	9	383414	179.9221023
1977	10	312951	146.8564054
1977	11	325794	152.8831534
1977	12	312901	146.8329423
1978	1	367778	172.584702
1978	2	315282	147.9502581
1978	3	648044	304.1032379
1978	4	1296958	608.6147349
1978	5	2766703	1298.31206
1978	6	4925744	2311.470671
1978	7	2430502	1140.545284
1978	8	786796	369.2144533
1978	9	403348	189.2763961
1978	10	337622	158.4335992
1978	11	484296	227.2623182
1978	12	396615	186.1168466
1979	1	378857	177.7836696
1979	2	400248	187.82168
1979	3	820933	385.2336931
1979	4	1857833	871.812764
1979	5	4004564	1879.194744
1979	6	5026746	2358.867198
1979	7	2479879	1163.716096
1979	8	1031694	484.1360863
1979	9	390308	183.1572032
1979	10	323695	151.8981699
1979	11	384109	180.2482403
1979	12	342074	160.5227593
1980	1	454812	213.4265603
1980	2	621801	291.7883623
1980	3	655913	307.7958705
1980	4	1533104	719.4293759
1980	5	4411033	2069.935711
1980	6	5201268	2440.763961
1980	7	2030441	952.8113562
1980	8	666000	312.529329
1980	9	685451	321.6569686
1980	10	352771	165.5424683
1980	11	414053	194.2998592
1980	12	414613	194.5626466
1981	1	331751	155.6785547
1981	2	320735	150.5091506
1981	3	403089	189.1548569
1981	4	680995	319.5659315
1981	5	1245716	584.5687471
1981	6	2312416	1085.131863
1981	7	1088394	510.743313
1981	8	499716	234.4983576
1981	9	574463	269.5743782
1981	10	672482	315.5710934
1981	11	434368	203.8329423
1981	12	353000	165.6499296
1982	1	295281	138.5645237
1982	2	394385	185.0703895
1982	3	686508	322.1529798
1982	4	1065078	499.8019709
1982	5	3217382	1509.799155
1982	6	4243695	1991.410136
1982	7	2771662	1300.639137
1982	8	1570235	736.8535899
1982	9	1020835	479.0403566
1982	10	886751	416.1196621
1982	11	636169	298.5307367
1982	12	544782	255.6461755
1983	1	423722	198.8371656
1983	2	485406	227.7832004
1983	3	985487	462.452839
1983	4	1250150	586.6494603
1983	5	3843553	1803.638198
1983	6	7589336	3561.396527
1983	7	4407247	2068.15908
1983	8	1926961	904.2519944
1983	9	750277	352.0774284
1983	10	829643	389.3209761
1983	11	556130	260.9713749
1983	12	526927	247.2674801
1984	1	311094	145.9849836
1984	2	465756	218.5621774
1984	3	787467	369.529329
1984	4	1579150	741.0370718
1984	5	6627906	3110.232755
1984	6	6456738	3029.909901
1984	7	3371682	1582.206476
1984	8	1802366	845.7841389
1984	9	863122	405.0314406
1984	10	889855	417.5762553
1984	11	652722	306.2984514
1984	12	548542	257.4106053
1985	1	474478	222.6550915
1985	2	468833	220.0061004
1985	3	1198030	562.1914594
1985	4	2841665	1333.488972
1985	5	5606203	2630.785077
1985	6	4682799	2197.465509
1985	7	2061930	967.5879869
1985	8	976416	458.196152
1985	9	643102	301.7841389
1985	10	880692	413.2763961
1985	11	638341	299.5499765
1985	12	568455	266.7550446
1986	1	416980	195.6733928
1986	2	681252	319.6865321
1986	3	1062442	498.564993
1986	4	2389295	1121.208353
1986	5	4295237	2015.596903
1986	6	6117832	2870.873768
1986	7	3163287	1484.414359
1986	8	1245272	584.3603942
1986	9	909360	426.7292351
1986	10	1165093	546.7353355
1986	11	924652	433.9052088
1986	12	607566	285.1083998
1987	1	403771	189.4748944
1987	2	646283	303.2768653
